POS,#,Name,Inf,TM,LG,Lev,DOB,Age,NAT,HT,WT,B,T,OVR,POT,CON,BABIP,GAP,POW,EYE,K's,BA vL,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vR,CON vR,GAP vR,POW vR,EYE vR,K vR,BUN,BFH,BBT,GBT,FBT,STU,MOV,CON,PBABIP,HRR,STU vL,MOV vL,CON vL,PBABIP vL,HRR vL,STU vR,MOV vR,CON vR,PBABIP vR,HRR vR,FB,CH,CB,SL,SI,SP,CT,FO,CC,SC,KC,KN,PIT,G/F,VELO,VT,Slot,PT,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,SPE,SR,STE,RUN,PA,AB,AVG,OBP,SLG,RC,wOBA,OPS,BABIP,WPA,wRC,WAR,BatR,wSB,UBR,BsR,SV,BS,IP,ER,ERA,FIP,WPA,WAR,rWAR,SIERA
SS,57,Bobby Santizo,,Texas,MLB,MLB,12/21/2024,30,DOM,6' 1',200 lbs,Left,Right,2.5 Stars,2.5 Stars,46,51,39,49,43,43,43,37,32,36,36,29,56,50,41,56,45,46,70,9,Normal,Normal,Normal,1,3,1,12,1,1,3,1,12,1,1,3,1,12,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,86-88,86-88,3/4,Normal,1,1,4,2,2,62,57,72,53,38,32,50,49,40,51,74,531,480,.223,.296,.354,50.1,.286,.650,.288,-0.42,51,1.6,-8.9,-1.9,1.0,-0.9,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
C,24,Sang-hun Shim,,Cleveland,MLB,MLB,12/14/2022,32,KOR,6' 2',210 lbs,Right,Right,2.5 Stars,2.5 Stars,30,42,42,70,74,12,46,34,45,84,88,15,41,28,41,66,69,11,52,5,Flyball,Normal,Spray,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,86-88,86-88,3/4,Normal,3,1,53,66,65,20,22,55,24,31,29,51,2,6,4,2,469,412,.192,.281,.379,45.7,.286,.660,.294,-0.27,45,1.9,-8.3,0.0,-0.6,-0.6,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
RF,36,Randy Sohn,,St. Louis,MLB,MLB,07/16/2030,25,USA,5' 11',175 lbs,Left,Left,2.5 Stars,2.5 Stars,53,55,65,47,41,53,47,46,52,38,31,46,58,57,71,51,43,56,58,9,Line Drive,Normal,Normal,1,1,1,3,1,1,1,1,3,1,1,1,1,3,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,87-89,87-89,3/4,Normal,1,10,10,10,9,18,18,49,4,53,36,67,74,34,17,28,16,15,.333,.312,.533,2.7,.347,.846,.364,-0.27,2,0.1,0.5,0.0,0.2,0.2,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SS,21,Michael Taylor,,Los Angeles,MLB,MLB,08/20/2024,31,USA,6' 2',200 lbs,Right,Right,2.5 Stars,2.5 Stars,48,46,62,45,50,52,49,56,74,48,56,65,45,46,60,44,49,49,23,10,Line Drive,Pull,Pull,1,1,1,6,1,1,1,1,6,1,1,1,1,6,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,83-85,83-85,3/4,Normal,1,1,3,1,4,77,51,66,53,12,18,31,89,59,51,72,523,474,.230,.293,.338,49.4,.276,.630,.281,-2.11,46,2.9,-14.8,0.8,2.2,3.0,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
2B,33,Claas van der Heijden,,Arizona,MLB,MLB,01/03/2032,23,NED,6' 1',190 lbs,Right,Right,2.5 Stars,2.5 Stars,61,54,55,26,51,70,65,95,65,36,79,100,51,54,51,23,46,58,64,1,Groundball,Normal,Spray,1,1,1,15,1,1,1,1,15,1,1,1,1,15,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,89-91,91-93,3/4,Normal,1,4,4,3,13,59,35,27,38,44,19,19,44,16,24,3,193,169,.189,.285,.290,14.9,.261,.575,.217,-1.77,14,-0.5,-6.6,0.1,-0.6,-0.6,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,5,Jake Weaver,,Los Angeles,MLB,MLB,04/18/2025,30,USA,6' 2',200 lbs,Right,Left,2.5 Stars,2.5 Stars,53,58,48,35,46,49,70,64,55,43,51,56,55,50,46,31,45,48,44,2,Normal,Normal,Spray,1,1,1,12,1,1,1,1,12,1,1,1,1,12,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,85-87,85-87,3/4,Normal,1,5,1,1,1,12,8,24,4,68,63,57,57,56,64,100,407,369,.201,.273,.290,32.7,.252,.563,.272,-0.44,28,0.1,-19.5,2.7,3.8,6.5,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,13,Ken Wemp,,San Antonio,MLB,MLB,03/24/2027,28,CAN,6' 1',200 lbs,Left,Left,2.5 Stars,2.5 Stars,46,48,46,54,50,45,42,39,41,42,44,36,50,49,48,59,52,49,14,1,Normal,Pull,Pull,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,0,GB,83-85,83-85,SIDE,GB'er,1,3,2,2,4,13,13,38,4,60,54,63,43,50,58,71,321,284,.229,.318,.380,36.3,.304,.698,.283,-0.06,35,0.7,0.8,-0.3,1.2,0.9,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,17,Brian Williams,,Texas,MLB,MLB,10/18/2031,23,USA,6' 2',195 lbs,Right,Right,2.5 Stars,3.5 Stars,46,46,48,57,45,46,49,51,51,74,48,55,45,44,47,53,44,44,25,1,Normal,Pull,Normal,1,1,1,8,1,1,1,1,8,1,1,1,1,8,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,88-90,90-92,SIDE,Normal,1,5,3,4,1,30,27,22,22,66,61,50,70,56,65,71,91,80,.200,.297,.375,8.9,.290,.672,.207,0.29,9,-0.0,-1.3,0.3,-0.3,-0.0,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
C,14,Bill Wright,,Milwaukee,MLB,MLB,07/19/2024,31,USA,6' 0',195 lbs,Right,Right,2.5 Stars,2.5 Stars,46,46,45,43,51,46,50,52,49,50,57,56,45,44,44,40,50,43,20,9,Flyball,Spray,Spray,1,1,1,17,1,1,1,1,17,1,1,1,1,17,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,87-89,87-89,3/4,Normal,1,1,74,71,54,16,12,24,28,34,32,30,21,17,6,28,447,415,.229,.277,.299,33.2,.255,.576,.307,-4.26,32,0.7,-17.7,-2.0,-3.8,-5.8,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
2B,43,Josh Aber,,Detroit,MLB,MLB,09/25/2025,29,USA,6' 0',200 lbs,Switch,Right,2.5 Stars,2.5 Stars,48,50,45,46,48,47,56,58,48,56,53,59,48,46,43,43,47,44,22,1,Line Drive,Spray,Normal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,88-90,88-90,OTT,Normal,1,1,1,2,2,41,42,52,56,12,20,25,45,43,50,55,141,122,.279,.369,.459,21.3,.359,.828,.345,-0.17,22,0.8,6.4,-0.9,1.0,0.1,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
2B,33,Tony Aranda,,New York,MLB,MLB,12/07/2026,28,DOM,6' 2',200 lbs,Switch,Right,2.5 Stars,2.5 Stars,47,48,69,49,44,48,42,40,61,39,39,38,49,50,73,53,45,51,35,1,Line Drive,Pull,Normal,1,1,1,19,1,1,1,1,19,1,1,1,1,19,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,88-90,90-92,SIDE,Normal,1,4,3,2,4,66,55,43,52,27,29,27,80,60,72,54,77,71,.282,.325,.549,12.5,.367,.874,.306,-0.42,12,0.6,4.0,-0.6,-0.1,-0.8,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,22,Sergio Arenas,,Seattle,MLB,MLB,08/25/2029,26,DOM,6' 2',200 lbs,Right,Right,2.5 Stars,2.5 Stars,47,49,50,46,47,46,58,55,59,66,66,51,47,45,48,42,42,44,49,6,Normal,Pull,Normal,1,1,1,8,1,1,1,1,8,1,1,1,1,8,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,80-83,80-83,OTT,Normal,1,7,9,14,8,46,30,63,26,63,59,75,53,52,49,49,148,136,.250,.311,.397,17.0,.304,.708,.312,0.86,16,0.5,0.7,0.0,-0.1,-0.1,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,44,Francisco Bonilla,,Indianapolis,MLB,MLB,08/02/2020,35,VEN,6' 1',200 lbs,Right,Right,2.5 Stars,2.5 Stars,42,49,49,50,58,35,55,47,54,65,67,41,48,40,48,47,56,32,48,3,Line Drive,Normal,Pull,1,1,1,12,1,1,1,1,12,1,1,1,1,12,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,84-86,84-86,3/4,Normal,1,13,1,3,1,43,72,27,28,16,8,28,48,49,51,67,91,83,.301,.352,.542,15.8,.379,.894,.365,-0.39,15,1.0,6.3,0.0,0.5,0.6,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,28,Adam Bryant,,Indianapolis,MLB,MLB,12/05/2029,25,USA,6' 3',200 lbs,Switch,Right,2.5 Stars,3.0 Stars,38,48,45,84,46,25,55,44,51,100,52,35,46,36,44,78,44,22,12,7,Normal,Normal,Normal,1,1,1,7,1,1,1,1,7,1,1,1,1,7,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,86-88,86-88,3/4,Normal,1,2,4,3,1,20,15,43,10,44,51,57,45,29,14,28,157,141,.170,.248,.206,7.4,.207,.454,.348,-1.98,5,-1.2,-10.8,-0.8,-0.0,-0.9,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
3B,80,Jason Burns,,Pittsburgh,MLB,MLB,07/26/2026,29,USA,6' 2',200 lbs,Right,Right,2.5 Stars,2.5 Stars,48,48,47,50,43,48,52,54,50,61,46,57,47,46,46,47,42,45,51,5,Normal,Normal,Normal,1,5,1,2,6,1,5,1,2,6,1,5,1,2,6,-,-,-,-,-,-,-,-,-,-,-,-,0,GB,88-90,88-90,OTT,GB'er,1,7,4,1,3,60,47,72,39,30,25,37,34,14,5,4,314,286,.248,.312,.402,35.0,.307,.714,.305,-0.89,35,1.2,0.5,0.0,-0.0,-0.0,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,22,Brett Cain,,Washington,MLB,MLB,04/29/2024,31,USA,6' 2',205 lbs,Right,Right,2.5 Stars,2.5 Stars,56,49,46,32,42,65,55,65,50,39,46,79,47,53,45,29,41,61,70,5,Line Drive,Spray,Normal,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,-,-,-,-,-,-,-,-,-,-,-,-,0,GB,89-91,89-91,3/4,GB'er,1,4,4,4,2,12,9,10,7,58,47,34,65,72,76,100,169,152,.224,.278,.395,18.5,.288,.673,.237,1.35,16,0.2,-2.3,1.2,0.6,1.8,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,24,Mark Collyer,,Philadelphia,MLB,MLB,09/21/2019,35,AUS,6' 2',200 lbs,Left,Right,2.5 Stars,2.5 Stars,58,56,43,32,56,59,47,44,37,22,47,43,59,65,44,35,60,67,61,1,Line Drive,Normal,Normal,1,1,1,4,1,1,1,1,4,1,1,1,1,4,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,89-91,89-91,3/4,Normal,1,1,1,1,1,7,7,31,1,48,56,47,53,47,41,38,483,422,.232,.319,.329,47.2,.287,.648,.266,0.77,47,-1.3,-7.8,-2.5,-3.9,-6.3,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
3B,34,Chris Cooper,,Columbus,MLB,MLB,05/11/2026,29,USA,6' 2',200 lbs,Right,Right,2.5 Stars,2.5 Stars,49,45,43,46,42,57,47,57,45,53,45,72,44,48,42,44,42,53,32,1,Normal,Pull,Normal,1,1,1,13,1,1,1,1,13,1,1,1,1,13,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,80-83,80-83,3/4,Normal,1,9,3,4,1,53,64,82,60,39,39,59,61,40,50,45,257,242,.260,.296,.372,25.8,.289,.668,.306,-0.60,25,0.8,-6.9,-1.3,0.1,-1.2,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
CF,3,Bryan DeChellis,,Baltimore,MLB,MLB,09/12/2030,25,USA,5' 10',170 lbs,Right,Right,2.5 Stars,2.5 Stars,46,46,48,45,38,47,48,50,50,49,41,52,46,45,47,44,36,46,37,8,Normal,Normal,Spray,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,88-90,90-92,OTT,Normal,1,3,3,5,1,14,8,44,1,88,62,72,72,52,53,81,167,158,.234,.275,.329,13.8,.265,.605,.292,-0.74,13,0.7,-5.6,-1.1,1.0,-0.1,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,3,Cory Devers,,Washington,MLB,MLB,11/02/2022,32,USA,6' 3',195 lbs,Right,Right,2.5 Stars,2.5 Stars,53,44,46,48,56,69,47,59,49,56,61,80,43,51,45,46,54,66,69,9,Normal,Normal,Pull,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,89-91,89-91,3/4,Normal,1,4,1,4,4,12,6,30,6,46,40,48,13,2,4,5,134,121,.174,.246,.289,8.1,.238,.536,.178,-0.10,7,-0.7,-7.2,0.0,0.1,0.1,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,31,Jose Dimas,,Baltimore,MLB,MLB,03/09/2030,25,DOM,6' 2',200 lbs,Switch,Right,2.5 Stars,2.5 Stars,42,42,47,54,51,43,37,36,42,42,60,35,44,44,49,60,49,46,50,9,Normal,Normal,Spray,1,1,1,8,1,1,1,1,8,1,1,1,1,8,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,85-87,85-87,3/4,Normal,1,1,3,1,1,46,43,55,54,20,32,56,57,47,64,62,210,183,.240,.333,.355,23.2,.294,.689,.295,-0.13,21,0.4,-2.2,-0.3,0.4,0.1,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
RF,21,Gabriel Dominguez,,Seattle,MLB,MLB,12/06/2028,26,USA,5' 10',185 lbs,Left,Left,2.5 Stars,3.0 Stars,48,62,61,48,44,38,51,41,50,39,35,28,68,51,66,52,47,40,50,12,Line Drive,Pull,Spray,1,1,1,12,1,1,1,1,12,1,1,1,1,12,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,88-90,88-90,3/4,Normal,1,1,1,1,2,18,14,58,6,47,59,69,39,50,74,65,165,146,.247,.321,.397,19.9,.309,.718,.376,0.32,19,0.8,1.4,1.6,0.6,2.2,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,4,Noah Dudley,,Toronto,MLB,MLB,07/19/2026,29,USA,6' 4',200 lbs,Left,Left,2.5 Stars,2.5 Stars,52,50,44,48,47,56,43,41,38,36,40,40,53,58,46,53,49,62,30,4,Normal,Normal,Normal,1,1,1,6,1,1,1,1,6,1,1,1,1,6,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,89-91,91-93,3/4,Normal,1,1,4,2,1,40,20,20,19,31,28,27,18,10,12,2,110,100,.260,.327,.380,12.5,.311,.707,.296,-0.24,12,0.5,0.6,0.0,0.3,0.3,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
C,24,Ruben Figueroa,,Memphis,MLB,MLB,12/23/2026,28,MEX,6' 2',200 lbs,Right,Right,2.5 Stars,2.5 Stars,49,48,42,37,60,52,51,57,44,42,79,62,47,48,41,36,57,49,61,5,Line Drive,Normal,Pull,1,1,1,4,1,1,1,1,4,1,1,1,1,4,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,83-85,83-85,3/4,Normal,1,1,41,80,31,13,6,53,2,44,45,48,14,13,17,28,412,355,.200,.299,.285,32.5,.265,.583,.250,-2.76,33,1.2,-7.8,-0.8,-0.9,-1.6,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
C,39,Bobby Forch,,Chicago,MLB,MLB,12/14/2027,27,USA,6' 4',200 lbs,Right,Right,2.5 Stars,3.0 Stars,50,53,48,39,46,48,60,58,54,46,58,53,50,48,47,36,43,46,52,2,Line Drive,Spray,Normal,1,1,1,15,1,1,1,1,15,1,1,1,1,15,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,84-86,84-86,SIDE,Normal,1,1,68,65,62,12,3,62,11,40,42,49,40,30,38,52,0,0,.000,.000,.000,0.0,.000,.000,.000,0.00,0,0.0,-0.0,0.0,0.0,0.0,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
C,19,David Gutierrez,,Arizona,MLB,MLB,02/21/2028,27,COL,6' 2',200 lbs,Switch,Right,2.5 Stars,2.5 Stars,45,42,47,49,39,49,44,50,50,57,43,58,42,44,46,47,38,47,47,11,Normal,Normal,Pull,1,13,1,2,15,1,13,1,2,15,1,13,1,2,15,-,-,-,-,-,-,-,-,-,-,-,-,0,GB,84-86,84-86,SIDE,GB'er,1,6,60,56,66,14,9,31,8,19,27,43,19,22,19,4,382,344,.247,.312,.416,43.1,.313,.727,.263,-0.01,45,1.4,2.9,-0.4,-3.7,-4.0,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
RF,26,Ray Hammond,,Tampa Bay,MLB,MLB,03/07/2028,27,USA,6' 2',200 lbs,Switch,Right,2.5 Stars,2.5 Stars,46,44,57,48,35,48,39,38,51,38,26,38,46,48,59,52,38,52,38,1,Normal,Normal,Normal,1,5,1,3,5,1,5,1,3,5,1,5,1,3,5,-,-,-,-,-,-,-,-,-,-,-,-,0,GB,83-85,83-85,SIDE,GB'er,1,12,1,1,1,23,27,35,15,69,57,79,74,65,47,34,169,152,.230,.290,.395,18.5,.295,.685,.275,-0.36,17,0.5,-0.2,0.0,0.5,0.5,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
C,45,Armando Hernandez,,Chicago,MLB,MLB,07/04/2028,27,VEN,6' 2',195 lbs,Right,Right,2.5 Stars,3.0 Stars,52,50,39,47,41,56,53,61,41,55,46,70,49,50,38,45,40,53,38,9,Normal,Normal,Normal,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,89-91,91-93,OTT,Normal,1,9,60,62,52,32,27,69,20,30,27,45,2,5,1,20,473,431,.241,.298,.369,45.0,.291,.667,.280,-1.90,48,1.6,-5.4,0.0,-1.1,-1.1,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,28,Bill Hernandez,,New York,MLB,MLB,06/21/2032,23,DOM,6' 6',210 lbs,Right,Right,2.5 Stars,3.5 Stars,53,49,51,45,52,60,52,61,56,50,57,76,48,51,50,43,51,56,28,4,Flyball,Pull,Normal,1,1,1,12,1,1,1,1,12,1,1,1,1,12,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,85-87,85-87,3/4,Normal,1,3,2,3,1,32,34,42,19,44,45,39,15,10,3,1,1,1,.000,.000,.000,0.0,.000,.000,.000,-0.06,0,-0.0,-0.2,0.0,0.0,0.0,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,61,Cory Hinman,,Seattle,MLB,MLB,05/29/2022,33,USA,6' 5',200 lbs,Right,Right,2.5 Stars,2.5 Stars,49,56,46,43,44,45,69,69,52,59,60,62,52,45,44,39,40,40,23,4,Line Drive,Normal,Normal,1,1,1,13,1,1,1,1,13,1,1,1,1,13,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,83-85,83-85,OTT,Normal,1,1,9,6,5,42,38,36,43,17,7,23,30,29,24,20,87,77,.260,.345,.481,12.7,.348,.825,.288,0.10,12,0.5,3.4,0.0,-0.1,-0.1,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
RF,22,Hiromi Imai,,Cleveland,MLB,MLB,10/31/2021,33,JPN,6' 1',200 lbs,Right,Right,2.5 Stars,2.5 Stars,45,49,65,43,77,42,56,52,79,51,100,50,48,43,61,40,66,40,57,1,Line Drive,Normal,Normal,1,1,1,7,1,1,1,1,7,1,1,1,1,7,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,86-88,86-88,3/4,Normal,3,1,2,4,2,7,6,31,1,52,51,38,58,58,43,75,570,506,.225,.311,.362,60.4,.295,.672,.299,0.61,59,0.3,-6.1,-0.1,-0.8,-0.8,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
2B,8,Tomas Jimenez,,Memphis,MLB,MLB,09/26/2019,35,USA,6' 4',200 lbs,Right,Right,2.5 Stars,2.5 Stars,44,39,47,41,46,50,43,49,49,51,48,58,38,43,46,38,45,48,46,44,Normal,Pull,Normal,1,5,1,3,6,1,6,1,3,6,1,5,1,3,6,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,88-90,88-90,3/4,Normal,1,3,10,11,12,73,58,71,55,40,32,54,62,57,67,78,493,452,.186,.254,.314,35.2,.251,.568,.221,-1.01,34,1.5,-14.8,1.6,2.2,3.7,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,37,Will Johnson,,Cincinnati,MLB,MLB,07/26/2025,30,USA,6' 1',200 lbs,Right,Right,2.5 Stars,2.5 Stars,52,52,53,38,46,52,59,69,61,46,59,75,50,49,51,36,43,48,87,3,Groundball,Normal,Spray,1,1,1,4,1,1,1,1,4,1,1,1,1,4,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,88-90,88-90,3/4,Normal,1,1,1,1,2,18,7,43,7,67,46,68,63,28,27,58,519,473,.207,.272,.315,42.6,.260,.587,.254,-3.13,39,-1.8,-26.1,-2.0,1.1,-0.9,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,32,Danny Ladrech,,Los Angeles,MLB,MLB,09/09/2023,32,USA,6' 1',195 lbs,Switch,Left,2.5 Stars,2.5 Stars,48,46,50,51,41,52,39,38,42,37,29,38,48,53,55,58,45,59,27,3,Normal,Normal,Normal,1,8,1,2,10,1,8,1,2,10,1,7,1,2,9,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,80-83,80-83,OTT,Normal,1,5,1,1,1,40,39,8,6,34,48,38,38,30,24,18,153,127,.276,.399,.417,21.8,.357,.816,.320,0.12,23,1.0,5.6,0.0,-1.1,-1.1,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
2B,27,Pablo Leal,,Jacksonville,MLB,MLB,03/19/2029,26,DOM,6' 3',200 lbs,Right,Right,2.5 Stars,2.5 Stars,57,62,55,37,47,50,73,70,60,42,50,61,60,53,53,36,46,47,44,9,Line Drive,Normal,Normal,1,1,1,14,1,1,1,1,14,1,1,1,1,14,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,88-90,90-92,3/4,Normal,1,2,4,1,3,47,55,52,67,12,29,43,33,24,34,26,7,7,.286,.286,.286,0.6,.250,.571,.333,-0.15,0,-0.1,-0.2,0.0,-0.0,-0.0,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
RF,11,Aaron Lloyd,,Columbus,MLB,MLB,05/12/2028,27,USA,6' 3',205 lbs,Right,Right,2.5 Stars,2.5 Stars,54,59,50,32,54,49,68,67,55,38,60,61,57,50,48,30,52,47,44,3,Line Drive,Normal,Normal,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,80-83,80-83,3/4,Normal,1,1,2,1,1,14,32,36,12,62,86,73,39,26,27,19,214,189,.206,.299,.275,16.6,.263,.574,.290,-1.43,16,0.1,-5.6,-0.8,0.5,-0.3,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,19,Alex Lopez,,Columbus,MLB,MLB,01/03/2022,33,DOM,6' 2',200 lbs,Right,Right,2.5 Stars,2.5 Stars,57,49,35,39,49,67,55,80,38,46,67,100,47,51,34,36,46,58,53,2,Groundball,Normal,Pull,1,1,1,16,1,1,1,1,16,1,1,1,1,16,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,86-88,86-88,OTT,Normal,1,1,1,3,4,32,24,30,10,48,36,33,29,19,22,8,427,373,.241,.328,.324,41.2,.293,.652,.283,0.69,43,0.3,-1.0,-0.6,-0.1,-0.7,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
2B,39,Alfonso Martinez,,Colorado,MLB,MLB,09/20/2031,23,VEN,6' 2',200 lbs,Right,Right,2.5 Stars,3.5 Stars,40,43,57,39,43,38,46,44,62,44,49,43,43,39,55,37,41,37,85,66,Line Drive,Normal,Normal,1,1,1,6,1,1,1,1,6,1,1,1,1,6,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,88-90,88-90,SIDE,Normal,1,10,2,2,4,85,66,56,82,67,45,38,71,37,45,70,494,442,.217,.300,.342,48.4,.285,.641,.302,-1.92,47,2.3,-15.4,-0.8,2.6,1.8,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
CF,38,Matt Matise,,Arizona,MLB,MLB,11/04/2025,29,USA,6' 0',200 lbs,Left,Right,2.5 Stars,2.5 Stars,53,52,51,31,38,54,48,43,47,20,26,39,55,58,54,34,41,61,52,48,Normal,Spray,Normal,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,88-90,88-90,3/4,Normal,1,7,1,4,1,6,4,19,1,70,62,64,67,64,72,80,585,542,.242,.292,.351,59.7,.281,.643,.302,-1.13,54,1.1,-10.4,2.7,1.6,4.4,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
3B,28,Pedro Mercado,,Tampa Bay,MLB,MLB,11/30/2025,29,VEN,6' 0',205 lbs,Right,Right,2.5 Stars,2.5 Stars,46,46,46,44,47,47,49,52,50,53,58,57,45,44,45,42,45,44,56,1,Groundball,Normal,Normal,1,1,1,8,1,1,1,1,8,1,1,1,1,8,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,87-89,89-91,3/4,Normal,1,3,10,7,7,46,66,82,65,48,36,60,29,27,50,59,412,370,.227,.301,.311,33.6,.272,.612,.301,-1.94,35,1.1,-8.1,-0.8,-1.0,-1.7,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
C,40,Vinny Molina,,Indianapolis,MLB,MLB,09/22/2026,28,DOM,6' 1',200 lbs,Right,Right,2.5 Stars,2.5 Stars,44,48,39,44,47,40,55,52,43,58,44,51,46,41,38,40,48,37,43,6,Normal,Spray,Spray,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,87-89,89-91,3/4,Normal,1,4,63,64,76,18,14,71,9,26,30,58,21,9,4,8,445,403,.194,.265,.325,35.0,.260,.590,.257,-2.07,34,1.2,-11.8,-0.6,-0.3,-0.9,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
