POS,#,Name,Inf,TM,LG,Lev,DOB,Age,NAT,HT,WT,B,T,OVR,POT,CON,BABIP,GAP,POW,EYE,K's,BA vL,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vR,CON vR,GAP vR,POW vR,EYE vR,K vR,BUN,BFH,BBT,GBT,FBT,STU,MOV,CON,PBABIP,HRR,STU vL,MOV vL,CON vL,PBABIP vL,HRR vL,STU vR,MOV vR,CON vR,PBABIP vR,HRR vR,FB,CH,CB,SL,SI,SP,CT,FO,CC,SC,KC,KN,PIT,G/F,VELO,VT,Slot,PT,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,SPE,SR,STE,RUN,PA,AB,AVG,OBP,SLG,RC,wOBA,OPS,BABIP,WPA,wRC,WAR,BatR,wSB,UBR,BsR,SV,BS,IP,ER,ERA,FIP,WPA,WAR,rWAR,SIERA
SS,50,Jeff Lowery,,Atlanta,MLB,MLB,07/23/2029,25,USA,6' 2',200 lbs,Right,Right,2.5 Stars,3.0 Stars,70,57,49,31,26,83,60,81,53,37,32,97,56,67,47,29,24,79,53,3,Line Drive,Pull,Pull,1,1,1,7,1,1,1,1,7,1,1,1,1,7,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,87-89,89-91,SIDE,Normal,1,8,6,6,6,52,66,55,56,22,29,30,45,44,47,24,20,19,.316,.350,.421,2.9,.334,.771,.353,0.52,2,-0.0,0.4,0.0,-0.8,-0.8,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
C,13,Bill Luna,,Los Angeles,MLB,MLB,01/14/2021,33,DOM,5' 11',195 lbs,Right,Right,2.5 Stars,2.5 Stars,52,53,47,37,52,52,59,62,50,42,57,65,52,50,46,35,50,48,55,1,Line Drive,Ex. Pull,Spray,1,1,1,16,1,1,1,1,16,1,1,1,1,16,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,84-86,84-86,3/4,Normal,1,4,72,69,38,14,14,47,8,51,52,39,16,18,17,58,254,223,.197,.283,.224,14.7,.235,.508,.250,-1.63,14,-0.7,-15.9,0.0,-0.9,-0.9,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,19,Jesus Maldonado,,Miami,MLB,MLB,02/03/2023,31,DOM,6' 2',200 lbs,Right,Right,2.5 Stars,2.5 Stars,51,49,50,48,46,56,56,70,57,63,59,84,47,48,48,44,42,50,19,11,Normal,Ex. Pull,Normal,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,85-87,85-87,SIDE,Normal,1,1,7,13,6,36,30,31,31,10,8,7,1,7,4,8,86,75,.293,.384,.453,11.9,.359,.837,.302,0.15,13,0.3,3.3,0.0,-0.6,-0.6,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
C,17,Tim Martin,,San Francisco,MLB,MLB,07/20/2028,26,USA,5' 11',215 lbs,Right,Right,2.5 Stars,2.5 Stars,37,50,45,68,48,20,56,42,48,82,53,26,48,36,43,63,47,18,13,1,Flyball,Normal,Normal,1,12,1,1,15,1,12,1,1,15,1,12,1,1,15,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,83-85,83-85,3/4,Normal,1,1,47,60,48,27,28,40,17,46,53,46,13,22,29,13,204,189,.243,.294,.450,24.1,.314,.744,.337,-1.06,25,0.9,1.9,-0.1,-1.3,-1.5,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
3B,1,Jesus Martinez,,Toronto,MLB,MLB,12/14/2019,34,DOM,6' 0',200 lbs,Right,Right,2.5 Stars,2.5 Stars,50,48,53,30,75,52,56,70,63,39,97,84,46,46,50,26,67,47,52,4,Line Drive,Normal,Normal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,87-89,87-89,3/4,Normal,1,1,7,5,8,42,55,85,30,34,9,22,48,48,58,63,374,331,.230,.307,.305,32.5,.275,.613,.286,-2.00,33,0.1,-11.0,-1.2,0.1,-1.1,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
2B,67,Brad McCubbin,,Washington,MLB,MLB,05/03/2027,27,USA,6' 3',200 lbs,Right,Right,2.5 Stars,2.5 Stars,48,47,44,45,41,50,52,54,48,55,49,56,46,47,43,42,39,49,24,8,Normal,Pull,Normal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,0,GB,83-85,83-85,3/4,GB'er,1,3,2,1,2,66,47,70,56,34,31,52,49,26,16,72,492,452,.268,.319,.392,57.5,.308,.711,.316,-0.24,57,2.4,-0.6,-2.2,-0.9,-3.0,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
C,40,Vinny Molina,,Indianapolis,MLB,MLB,09/22/2026,27,DOM,6' 1',200 lbs,Right,Right,2.5 Stars,2.5 Stars,44,49,41,46,47,40,57,53,45,62,44,51,47,42,39,42,48,37,42,6,Normal,Spray,Spray,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,87-89,89-91,3/4,Normal,1,4,63,63,76,20,16,72,10,27,32,60,22,9,5,7,414,378,.161,.232,.278,24.5,.225,.510,.209,-2.71,20,-1.1,-24.4,0.0,-4.2,-4.2,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
2B,19,Roger Naranjo,,Los Angeles,MLB,MLB,09/21/2027,26,DOM,6' 2',200 lbs,Right,Right,2.5 Stars,2.5 Stars,45,47,48,51,48,45,50,50,51,61,56,51,46,44,47,48,46,43,12,10,Normal,Ex. Pull,Normal,1,1,1,8,1,1,1,1,8,1,1,1,1,8,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,89-91,91-93,3/4,Normal,1,1,2,4,3,58,58,42,72,33,33,32,25,48,66,78,183,170,.235,.284,.406,18.1,.293,.690,.303,-0.47,19,0.1,-3.5,-1.8,2.3,0.5,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,23,Javy Nasquez,,Baltimore,MLB,MLB,05/31/2023,31,DOM,6' 4',200 lbs,Right,Right,2.5 Stars,2.5 Stars,61,62,48,24,41,58,73,83,51,30,47,81,59,57,47,22,38,53,89,71,Line Drive,Normal,Normal,1,1,1,18,1,1,1,1,18,1,1,1,1,18,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,85-87,85-87,SIDE,Normal,1,1,10,12,11,43,54,26,49,15,30,30,53,55,58,64,129,118,.169,.225,.246,6.3,.210,.471,.211,-0.52,4,-0.5,-10.7,0.0,1.2,1.2,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
CF,39,Alberto Oropeza,,Philadelphia,MLB,MLB,05/10/2030,24,DOM,6' 0',200 lbs,Right,Right,2.5 Stars,2.5 Stars,41,54,54,62,41,27,59,45,57,72,43,33,52,40,53,60,40,26,48,2,Flyball,Pull,Spray,1,6,1,12,3,1,6,1,12,3,1,6,1,12,3,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,87-89,87-89,SIDE,Normal,1,1,1,3,4,45,35,37,32,73,73,64,52,50,57,78,177,163,.172,.237,.368,14.4,.258,.605,.211,-0.44,13,0.0,-7.7,-0.5,0.1,-0.4,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
CF,52,Edgar Pena,,Minnesota,MLB,MLB,12/24/2023,30,DOM,6' 3',200 lbs,Right,Right,2.5 Stars,2.5 Stars,52,51,44,46,43,55,56,62,47,53,45,70,49,50,43,44,42,51,28,5,Groundball,Pull,Pull,1,1,1,12,1,1,1,1,12,1,1,1,1,12,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,85-87,85-87,3/4,Normal,1,9,1,1,4,50,39,39,33,69,71,70,54,19,19,11,537,493,.223,.281,.341,48.8,.272,.622,.260,-0.02,46,-0.4,-16.2,-0.1,-1.4,-1.5,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
CF,45,Danny Saldivar,,Baltimore,MLB,MLB,02/25/2030,24,DOM,6' 1',195 lbs,Right,Right,2.5 Stars,4.0 Stars,50,49,55,43,49,52,53,59,60,48,53,63,48,49,53,41,48,49,51,10,Line Drive,Normal,Normal,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,88-90,88-90,3/4,Normal,1,6,4,1,3,31,23,32,19,79,47,58,72,37,34,5,58,54,.148,.207,.241,2.4,.200,.448,.152,-0.89,1,-0.2,-5.3,0.0,0.0,0.0,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,29,David Sanchez,,New York,MLB,MLB,09/24/2030,23,VEN,5' 10',180 lbs,Switch,Right,2.5 Stars,3.0 Stars,50,51,53,44,49,51,45,42,46,36,40,41,53,54,56,47,54,55,56,1,Line Drive,Normal,Normal,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,84-86,84-86,SIDE,Normal,1,1,1,1,4,26,21,24,16,64,56,52,68,59,61,69,14,11,.182,.357,.182,1.0,.273,.539,.286,-0.17,1,-0.0,-0.4,0.0,-0.1,-0.1,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
2B,19,Bubba Scandrick,,San Francisco,MLB,MLB,12/30/2021,32,USA,6' 1',200 lbs,Right,Right,2.5 Stars,2.5 Stars,51,47,42,41,48,57,50,59,45,45,56,72,47,49,42,39,46,54,50,14,Normal,Normal,Normal,1,1,1,7,1,1,1,1,7,1,1,1,1,7,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,80-83,80-83,3/4,Normal,1,1,2,1,4,61,46,55,60,44,52,48,44,30,16,42,425,380,.237,.311,.358,43.9,.295,.668,.268,-1.07,45,0.4,-3.0,-1.0,-1.4,-2.4,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,4,Alex Sighel,,New York,MLB,MLB,10/10/2031,22,VEN,6' 6',220 lbs,Right,Right,2.5 Stars,3.0 Stars,39,47,48,70,54,31,50,43,51,94,59,36,46,38,47,62,52,29,13,7,Flyball,Normal,Normal,1,1,1,14,1,1,1,1,14,1,1,1,1,14,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,84-86,84-86,3/4,Normal,1,1,1,1,2,32,33,13,6,11,24,17,2,2,3,1,46,39,.256,.370,.667,10.3,.428,1.036,.357,0.73,9,0.4,4.6,0.0,-0.2,-0.2,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,21,Andy Tarr,,Arizona,MLB,MLB,08/26/2027,27,USA,6' 3',200 lbs,Left,Left,2.5 Stars,2.5 Stars,39,45,65,63,49,32,40,33,58,51,43,23,47,40,69,69,52,35,11,4,Flyball,Pull,Spray,1,1,1,6,1,1,1,1,6,1,1,1,1,6,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,86-88,87-89,3/4,Normal,1,1,2,1,3,37,39,49,4,58,28,66,42,31,32,40,193,171,.193,.285,.415,21.7,.300,.700,.244,1.01,21,-0.0,-1.2,-0.4,-1.8,-2.1,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
RF,36,Justin Turner,,Chicago,MLB,MLB,08/18/2030,24,USA,6' 1',200 lbs,Right,Right,2.5 Stars,3.0 Stars,45,51,45,56,53,41,58,50,49,85,79,45,49,44,43,50,48,40,58,2,Normal,Normal,Spray,1,1,1,4,1,1,1,1,4,1,1,1,1,4,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,88-90,88-90,3/4,Normal,1,1,3,1,4,42,47,80,34,66,43,66,37,24,30,22,37,30,.200,.351,.333,3.5,.314,.685,.312,-0.07,4,0.1,0.1,0.0,0.4,0.4,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
2B,10,Shigegeki Umemoto,,Miami,MLB,MLB,12/24/2030,23,JPN,6' 2',200 lbs,Right,Right,2.5 Stars,4.5 Stars,48,53,63,41,70,44,62,55,80,50,87,48,51,46,60,38,64,42,67,1,Line Drive,Spray,Normal,1,1,1,8,1,1,1,1,8,1,1,1,1,8,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,89-91,91-93,SIDE,Normal,1,2,5,6,9,60,29,75,59,45,20,60,68,47,58,59,22,20,.200,.273,.400,2.3,.291,.673,.214,-0.01,2,0.1,-0.4,0.0,0.2,0.2,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
2B,4,Josh Weaver,,Indianapolis,MLB,MLB,09/21/2026,27,USA,6' 1',200 lbs,Right,Right,2.5 Stars,2.5 Stars,47,44,51,48,47,50,48,54,57,60,51,62,43,45,50,46,46,47,27,7,Normal,Normal,Pull,1,1,1,8,1,1,1,1,8,1,1,1,1,8,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,80-83,80-83,3/4,Normal,1,10,12,12,14,68,43,62,47,50,37,52,43,38,43,78,149,137,.248,.302,.453,18.8,.317,.755,.265,-0.92,18,1.0,2.5,0.0,1.0,1.0,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
2B,26,Elijah Wilson,,Tampa Bay,MLB,MLB,03/05/2027,27,USA,6' 0',195 lbs,Right,Right,2.5 Stars,3.0 Stars,51,59,57,36,60,46,69,61,65,41,70,54,57,49,55,34,58,43,50,1,Line Drive,Normal,Normal,1,1,1,7,1,1,1,1,7,1,1,1,1,7,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,89-91,91-93,SIDE,Normal,1,4,1,3,4,46,29,39,64,43,41,35,67,39,42,59,78,71,.268,.333,.451,10.0,.339,.784,.333,-0.32,11,0.5,2.4,-0.7,0.4,-0.3,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SS,22,Ken Wright,,San Diego,MLB,MLB,10/07/2024,29,USA,6' 2',200 lbs,Left,Right,2.5 Stars,2.5 Stars,52,55,37,41,57,51,48,45,34,35,53,43,57,56,38,43,58,55,53,4,Line Drive,Pull,Spray,1,3,1,3,3,1,3,1,3,3,1,3,1,3,3,-,-,-,-,-,-,-,-,-,-,-,-,0,GB,89-91,91-93,3/4,GB'er,1,1,1,2,3,62,38,58,27,33,30,44,32,33,50,38,99,87,.287,.374,.391,12.4,.332,.765,.348,-0.47,13,0.2,2.1,-0.5,-2.7,-3.2,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
CF,36,Marco Aragon,,Washington,MLB,MLB,06/05/2029,25,DOM,6' 3',205 lbs,Left,Right,2.5 Stars,3.5 Stars,46,53,62,43,46,42,44,38,49,32,35,30,57,50,69,46,49,45,38,1,Line Drive,Spray,Normal,1,1,1,16,1,1,1,1,16,1,1,1,1,16,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,83-85,83-85,3/4,Normal,1,1,12,7,7,23,18,23,10,68,48,50,85,61,74,81,485,446,.233,.285,.357,47.9,.278,.641,.298,0.10,45,0.2,-12.4,3.4,0.8,4.2,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
2B,12,Tony Aranda,,Arizona,MLB,MLB,12/07/2026,27,DOM,6' 2',200 lbs,Switch,Right,2.5 Stars,2.5 Stars,47,47,71,49,44,47,42,40,62,39,39,38,49,49,75,52,46,51,34,1,Normal,Pull,Normal,1,1,1,19,1,1,1,1,19,1,1,1,1,19,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,88-90,90-92,SIDE,Normal,1,4,3,2,4,67,54,43,52,27,30,28,82,59,66,52,159,148,.142,.195,.250,7.5,.197,.445,.188,-1.88,4,-0.6,-14.5,0.5,0.6,1.1,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,32,Brian Bentz,,San Antonio,MLB,MLB,05/13/2030,24,USA,6' 2',195 lbs,Switch,Right,2.5 Stars,4.0 Stars,53,49,47,42,43,59,55,62,51,49,51,69,48,51,46,39,41,56,57,6,Line Drive,Normal,Normal,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,89-91,91-93,3/4,Normal,1,1,9,10,7,15,10,25,3,50,55,55,76,39,54,28,9,7,.286,.444,.429,1.2,.389,.873,.333,0.10,1,0.1,0.6,0.0,0.0,0.0,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,11,Trent Bostian,,Boston,MLB,MLB,03/11/2022,32,USA,6' 2',200 lbs,Left,Left,2.5 Stars,2.5 Stars,47,48,34,51,39,47,40,37,27,37,26,34,50,51,36,58,42,52,24,5,Normal,Pull,Spray,1,1,1,13,1,1,1,1,13,1,1,1,1,13,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,80-83,80-83,3/4,Normal,1,7,1,5,1,21,23,50,3,56,50,70,19,40,48,71,108,101,.267,.306,.584,16.7,.370,.890,.236,2.34,18,0.7,4.4,-0.2,0.1,-0.1,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
2B,80,Jason Burns,,Pittsburgh,MLB,MLB,07/26/2026,28,USA,6' 2',205 lbs,Right,Right,2.5 Stars,2.5 Stars,48,49,48,50,43,48,54,56,51,61,45,58,48,47,47,47,42,46,51,5,Normal,Normal,Normal,1,3,1,2,3,1,3,1,2,3,1,3,1,2,3,-,-,-,-,-,-,-,-,-,-,-,-,0,GB,88-90,88-90,OTT,GB'er,1,7,4,1,3,61,48,73,40,31,26,38,36,14,4,3,8,8,.250,.250,.375,0.8,.265,.625,.333,0.09,0,0.0,-0.3,0.0,0.0,0.0,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
C,29,Miguel Castillo,,San Antonio,MLB,MLB,08/26/2024,30,VEN,5' 11',195 lbs,Right,Right,2.5 Stars,2.5 Stars,40,26,43,55,57,52,29,45,46,72,64,67,25,38,42,50,55,48,44,1,Flyball,Normal,Normal,1,2,1,12,1,1,2,1,12,1,1,2,1,12,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,83-85,83-85,OTT,Normal,1,4,54,64,32,10,11,21,5,42,40,59,4,24,31,52,243,210,.210,.309,.357,21.9,.289,.666,.245,-0.75,24,1.1,-3.2,-0.0,1.2,1.2,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,69,Rafael Castro,,Detroit,MLB,MLB,06/11/2016,38,DOM,6' 1',200 lbs,Right,Right,2.5 Stars,2.5 Stars,49,54,49,41,61,46,63,62,55,50,77,59,51,46,47,38,58,42,50,3,Line Drive,Normal,Normal,1,1,1,4,1,1,1,1,4,1,1,1,1,4,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,87-89,87-89,3/4,Normal,1,3,10,9,3,20,9,15,7,39,34,43,21,25,37,49,122,108,.204,.287,.370,10.8,.288,.657,.234,-2.00,12,-0.3,-2.0,0.0,-1.5,-1.5,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,36,Gary Curtis,,Baltimore,MLB,MLB,05/29/2024,30,USA,6' 4',195 lbs,Switch,Left,2.5 Stars,2.5 Stars,45,45,55,49,50,46,42,41,50,43,47,41,46,47,57,51,51,48,44,4,Normal,Normal,Normal,1,2,1,1,3,1,3,1,1,4,1,2,1,1,3,-,-,-,-,-,-,-,-,-,-,-,-,0,GB,87-89,87-89,3/4,GB'er,1,2,1,1,4,20,9,24,4,58,32,51,72,30,29,20,342,315,.210,.260,.356,30.5,.266,.616,.265,-0.58,28,-0.6,-12.8,-0.0,-0.9,-0.9,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
RF,14,Justin Eggleston,,Pittsburgh,MLB,MLB,06/10/2027,27,USA,5' 11',190 lbs,Right,Right,2.5 Stars,2.5 Stars,50,56,47,49,37,46,63,60,51,62,43,56,53,48,46,46,35,43,45,52,Line Drive,Pull,Normal,1,1,1,15,1,1,1,1,15,1,1,1,1,15,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,83-85,83-85,OTT,Normal,1,4,1,1,2,28,13,69,18,57,26,35,72,58,49,71,167,157,.287,.329,.478,24.5,.345,.807,.319,0.34,24,0.7,5.0,-0.4,0.8,0.4,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
3B,28,Steven Emerson,,Detroit,MLB,MLB,03/25/2027,27,USA,6' 1',195 lbs,Right,Right,2.5 Stars,2.5 Stars,47,46,51,50,45,49,49,50,56,60,48,52,45,46,50,47,44,48,22,7,Normal,Normal,Normal,1,1,1,6,1,1,1,1,6,1,1,1,1,6,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,88-90,88-90,3/4,Normal,1,2,2,2,4,49,50,85,48,11,29,63,55,30,49,31,513,469,.239,.294,.360,47.3,.283,.655,.290,-0.70,49,0.4,-5.9,-4.4,-1.9,-6.2,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,2,Videl Estevez,,Tampa Bay,MLB,MLB,11/21/2029,24,USA,6' 0',185 lbs,Right,Right,2.5 Stars,3.0 Stars,54,55,52,41,51,53,62,69,58,48,66,70,53,50,50,39,48,49,34,7,Normal,Normal,Spray,1,1,1,15,1,1,1,1,15,1,1,1,1,15,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,88-90,88-90,3/4,Normal,1,5,1,3,1,40,40,69,30,31,30,44,38,21,9,38,2,2,.000,.000,.000,0.0,.000,.000,.000,-0.00,0,-0.0,-0.5,0.0,0.0,0.0,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,18,Alexis Ferrufino,,Chicago,MLB,MLB,10/02/2024,29,DOM,6' 2',200 lbs,Left,Right,2.5 Stars,2.5 Stars,48,47,53,42,51,51,42,42,47,35,46,42,48,51,56,44,53,55,31,10,Normal,Ex. Pull,Spray,1,1,1,8,1,1,1,1,8,1,1,1,1,8,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,86-88,86-88,3/4,Normal,1,1,2,2,2,32,22,28,16,62,53,61,66,33,33,54,57,49,.286,.368,.367,7.5,.327,.736,.342,0.11,7,0.2,0.5,0.0,-0.5,-0.5,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
3B,15,Alex Garcia,,St. Louis,MLB,MLB,11/27/2032,21,DOM,6' 4',200 lbs,Right,Right,2.5 Stars,3.0 Stars,62,61,48,26,47,62,72,77,53,32,51,73,58,60,47,24,46,59,65,1,Line Drive,Normal,Pull,1,1,1,19,1,1,1,1,19,1,1,1,1,19,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,85-87,85-87,SIDE,Normal,1,1,3,1,4,47,38,63,27,44,28,55,40,16,28,1,10,9,.444,.500,.444,2.1,.423,.944,.571,-0.06,2,0.1,0.9,0.0,0.1,0.1,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
C,7,Chris Grosso,,Detroit,MLB,MLB,06/25/2021,33,USA,6' 0',190 lbs,Right,Right,2.5 Stars,2.5 Stars,49,44,44,38,59,56,47,52,47,43,65,61,44,48,43,36,57,54,27,7,Groundball,Pull,Pull,1,1,1,8,1,1,1,1,8,1,1,1,1,8,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,88-90,88-90,3/4,Normal,3,6,64,62,47,9,7,50,10,20,20,37,2,11,9,8,203,181,.265,.335,.381,24.4,.311,.716,.326,-1.09,24,1.0,0.5,0.0,-1.9,-1.9,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
C,19,David Gutierrez,,Arizona,MLB,MLB,02/21/2028,26,COL,6' 2',200 lbs,Switch,Right,2.5 Stars,2.5 Stars,46,43,48,50,39,50,46,50,51,59,43,58,42,45,48,48,37,48,48,11,Normal,Normal,Pull,1,13,1,2,16,1,13,1,2,16,1,13,1,2,16,-,-,-,-,-,-,-,-,-,-,-,-,0,GB,84-86,84-86,SIDE,GB'er,1,6,60,55,66,15,9,32,8,21,28,44,18,19,18,3,322,302,.242,.283,.354,28.5,.277,.637,.289,-1.89,29,0.3,-8.0,0.1,-1.5,-1.5,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
C,15,Armando Hernandez,,Jacksonville,MLB,MLB,07/04/2028,26,VEN,6' 2',200 lbs,Right,Right,2.5 Stars,3.0 Stars,52,50,38,49,41,56,53,60,40,58,46,69,49,50,38,47,40,52,39,9,Normal,Normal,Normal,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,-,-,-,-,-,-,-,-,-,-,-,-,0,GB,89-91,91-93,OTT,GB'er,1,9,60,62,52,31,27,69,20,32,30,47,2,6,2,20,245,225,.178,.229,.307,15.1,.233,.535,.201,-2.42,13,-0.1,-11.9,0.0,0.3,0.3,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
CF,59,Bobby Horlick,,New York,MLB,MLB,05/20/2026,28,USA,6' 0',200 lbs,Right,Right,2.5 Stars,2.5 Stars,50,49,73,44,38,51,59,61,84,62,43,62,47,47,69,39,37,48,51,5,Line Drive,Normal,Normal,1,1,1,17,1,1,1,1,17,1,1,1,1,17,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,87-89,89-91,3/4,Normal,1,1,4,5,2,16,14,16,7,68,27,42,69,56,70,58,2,2,.500,.500,.500,0.5,.439,1.000,.500,0.17,0,0.1,0.2,0.0,0.0,0.0,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,13,Jimmy Johnston,,Seattle,MLB,MLB,06/30/2015,39,USA,6' 2',200 lbs,Right,Right,2.5 Stars,2.5 Stars,47,48,37,47,65,46,54,57,40,60,81,60,46,44,36,43,61,43,37,8,Normal,Normal,Normal,1,1,1,9,1,1,1,1,9,1,1,1,1,9,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,84-86,84-86,3/4,Normal,1,9,3,1,2,41,24,56,20,48,22,62,21,14,22,11,115,104,.221,.278,.317,9.5,.263,.596,.278,-1.66,9,-0.3,-3.8,0.0,-0.1,-0.1,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,8,Jeremy Jones,,Miami,MLB,MLB,07/09/2021,33,USA,6' 2',200 lbs,Left,Right,2.5 Stars,2.5 Stars,48,52,51,48,38,46,42,37,42,33,30,31,57,53,56,54,40,50,8,10,Line Drive,Normal,Normal,1,1,1,9,1,1,1,1,9,1,1,1,1,9,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,88-90,88-90,3/4,Normal,1,1,2,4,4,53,43,27,36,40,41,39,64,48,56,74,29,25,.360,.414,.520,5.9,.394,.934,.409,0.15,5,0.3,2.0,0.0,0.0,0.0,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,37,Mark Keith,,Boston,MLB,MLB,11/03/2023,30,USA,6' 1',200 lbs,Left,Left,2.5 Stars,2.5 Stars,51,45,46,45,53,61,43,47,44,41,50,52,45,53,47,47,55,66,48,2,Groundball,Spray,Spray,1,8,1,7,8,1,8,1,7,9,1,8,1,7,8,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,87-89,87-89,3/4,Normal,1,3,4,1,4,32,26,34,8,48,40,63,42,29,33,32,3,3,.000,.000,.000,0.0,.000,.000,.000,-0.05,0,-0.1,-0.8,0.0,0.0,0.0,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
